FID,la_s_code,local_authority,uprn,address,url,opening_hours,facilities,sh_date_uploaded,sh_src,sh_src_id
pub_lib.66,S12000033,Aberdeen City,,"BRIDGE OF DON LIBRARY, SCOTSTOWN ROAD, AB22 8HH",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,7
pub_lib.67,S12000033,Aberdeen City,,"TILLYDRONE LIBRARY, PENNAN ROAD, AB24 2UD",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,8
pub_lib.68,S12000033,Aberdeen City,,"CULTER LIBRARY, NORTH DEESIDE ROAD, AB14 0UJ",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,9
pub_lib.69,S12000033,Aberdeen City,,"DYCE LIBRARY, RIVERVIEW DRIVE, AB21 7NF",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,10
pub_lib.70,S12000033,Aberdeen City,,"KINCORTH LIBRARY, PROVOST WATT DRIVE, AB12 5NA",,,,2025-10-23,057a18af-b371-4bba-82f6-7ffb322eb390,11
pub_lib.261,S12000017,Highland,130112924,"HUGH MILLER INSTITUTE, CHURCH STREET, CROMARTY, IV11 8XA",,,,2025-08-18,8906f3ff-ae26-450e-abf9-f47663f8e32c,320
pub_lib.71,S12000035,Argyll and Bute,,"LIBRARY HQ, HIGHLAND AVENUE, SANDBANK, DUNOON, PA23 8PB",http://www.argyll-bute.gov.uk/community-life-and-leisure/libraries-and-archives,,,2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,33
pub_lib.72,S12000036,City of Edinburgh,,"BALERNO LIBRARY, 1 MAIN STREET, BALERNO, EH14 7EQ",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,51
pub_lib.73,S12000036,City of Edinburgh,,"BALGREEN LIBRARY, 173 BALGREEN ROAD, EDINBURGH, EH11 3AT",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,52
pub_lib.74,S12000036,City of Edinburgh,,"CENTRAL LIBRARY, GEORGE IV BRIDGE, EDINBURGH, EH1 1EG",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,53
pub_lib.75,S12000036,City of Edinburgh,,"COLINTON LIBRARY, 14 THORBURN ROAD, EDINBURGH, EH13 0BQ",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,54
pub_lib.76,S12000036,City of Edinburgh,,"CORSTORPHINE LIBRARY, 12 KIRK LOAN, EDINBURGH, EH12 7HD",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,55
pub_lib.77,S12000036,City of Edinburgh,,"CRAIGMILLAR LIBRARY, 101 NIDDRIE MAINS ROAD, EDINBURGH, EH16 4DS",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,56
pub_lib.78,S12000036,City of Edinburgh,,"CURRIE LIBRARY, 210 LANARK ROAD WEST, EDINBURGH, EH14 5NX",,"Monday and Wednesday, 1 :00to 8:00pm; Tuesday, Thursday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,57
pub_lib.79,S12000036,City of Edinburgh,,"DRUMBRAE LIBRARY HUB, 81 DRUM BRAE DRIVE, EDINBURGH, EH4 7FE",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,58
pub_lib.80,S12000036,City of Edinburgh,,"FOUNTAINBRIDGE LIBRARY, 137 DUNDEE STREET, EDINBURGH, EH11 1BG",,"Monday and Wednesday, 1:00to 8:00pm; Tuesday, Thursday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,59
pub_lib.81,S12000036,City of Edinburgh,,"GILMERTON LIBRARY, 13 NEWTOFT STREET, EDINBURGH, EH17 8RG",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,60
pub_lib.82,S12000036,City of Edinburgh,,"GRANTON LIBRARY, 29 WARDIEBURN TERRACE, EDINBURGH, EH5 1DD",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,61
pub_lib.83,S12000036,City of Edinburgh,,"KIRKLISTON LIBRARY, 16 STATION ROAD, KIRKLISTON, EH29 9BE",,"Monday and Wednesday, 1 :00to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday,10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,62
pub_lib.84,S12000036,City of Edinburgh,,"LEITH LIBRARY, 28-30 FERRY ROAD, EDINBURGH, EH6 4AE",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,63
pub_lib.85,S12000036,City of Edinburgh,,"MCDONALD ROAD LIBRARY, 2 MCDONALD ROAD, EDINBURGH, EH7 4LU",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,64
pub_lib.86,S12000036,City of Edinburgh,,"MOREDUN LIBRARY, 92 MOREDUN PARK ROAD, EDINBURGH, EH17 7HL",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,65
pub_lib.87,S12000036,City of Edinburgh,,"MORNINGSIDE LIBRARY, 184 MORNINGSIDE ROAD, EDINBURGH, EH10 4PU",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,66
pub_lib.88,S12000036,City of Edinburgh,,"NEWINGTON LIBRARY, 17-21 FOUNTAINHALL ROAD, EDINBURGH, EH9 2LN",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,67
pub_lib.89,S12000036,City of Edinburgh,,"OXGANGS LIBRARY, 343 OXGANGS ROAD NORTH, EDINBURGH, EH13 9LY",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,68
pub_lib.90,S12000036,City of Edinburgh,,"PIERSHILL LIBRARY, 30 PIERSFIELD TERRACE, EDINBURGH, EH8 7BQ",,"Monday and Wednesday, 1 :00to 8:00pm; Tuesday, Thursday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,69
pub_lib.91,S12000036,City of Edinburgh,,"PORTOBELLO LIBRARY, 14 ROSEFIELD AVENUE, EDINBURGH, EH15 1AU",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,70
pub_lib.92,S12000036,City of Edinburgh,,"SIGHTHILL LIBRARY, GATE 55, 55 SIGHTHILL ROAD, EDINBURGH, EH11 4PB",,"Monday and Wednesday, 1:00 to 8:00pm; Tuesday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 2:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,71
pub_lib.93,S12000036,City of Edinburgh,,"SOUTH NEIGHBOURHOOD OFFICE AND LIBRARY, 40 CAPTAIN'S ROAD, EDINBURGH, EH17 8QF",,"Monday to Thursday, 8:30am to 5:00pm; Friday, 8:30am to 3:40pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,72
pub_lib.94,S12000036,City of Edinburgh,,"SOUTH QUEENSFERRY LIBRARY, 9 SHORE ROAD, SOUTH QUEENSFERRY, EH30 9RD",,"Monday and Wednesday, 1 :00to 8:00pm; Tuesday, Thursday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,73
pub_lib.441,S12000047,Fife,3202277,"KINGHORN LIBRARY, ROSSLAND PLACE, KINGHORN, KY3 9SS",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,215
pub_lib.95,S12000036,City of Edinburgh,,"STOCKBRIDGE LIBRARY, 11 HAMILTON PLACE, EDINBURGH, EH3 5BA",,"Monday and Wednesday, 1 :00to 8:00pm; Tuesday, Thursday and Friday, 10:00am to 5:00pm; Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,74
pub_lib.96,S12000036,City of Edinburgh,,"WESTER HAILES LIBRARY, 1 WEST SIDE PLAZA, EDINBURGH, EH14 2ST",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,75
pub_lib.97,S12000036,City of Edinburgh,,"NATIONAL LIBRARY OF SCOTLAND, GEORGE IV BRIDGE, EDINBURGH, EH1 1EW",,"Mon, 9:30am to 7:00pm; Tue, 9:30am to 7:00pm; Wed, 9:30am to 7:00pm; Thur, 9:30am to 7:00pm; Fri,:30am to 7pm; Sat, 9:30am to 7pm; Sun, Closed. Festive hours listed online: https://www.nls.uk/using-the-library/opening-hours/#holidays",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,76
pub_lib.98,S12000036,City of Edinburgh,,"BLACKHALL MOBILE LIBRARY, QUALITY STREET, DAVIDSON'S MAINS, EDINBURGH, EH4 7AZ",,Blackhall Library’s old building is closed due to RAAC. a mobile service runs every two weeks at Davidson Mains Parish Church until a temporary building is set up at Davidson Mains Primary School. Please check the library directory page for more info.,Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,77
pub_lib.99,S12000036,City of Edinburgh,,"MUIRHOUSE LIBRARY, NORTH EDINBURGH ARTS, 15A, MACMILLAN SQUARE, MUIRHOUSE, MUIRHOUSE/SALVESEN, EDINBURGH, EH4 4TZ",,"Monday to Wednesday, 10:00am to 8:00pm; Thursday to Saturday, 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,78
pub_lib.100,S12000036,City of Edinburgh,,"RATHO LIBRARY, SCHOOL WYND, RATHO, EDINBURGH, EH28 8RD",,"Monday and Wednesday, 1:00pm to 8:00pm; Tuesday, Thursday, Friday and Saturday; 10:00am to 5:00pm",Wheelchair accessible,2025-10-23,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,79
pub_lib.101,S12000027,Shetland Islands,,"SHETLAND LIBRARY, LOWER HILLHEAD, LERWICK, SHETLAND, ZE2 0EL",,,,2019-11-12,03e44d06-dcaf-483e-a760-159ccd7e117c,194
pub_lib.102,S12000035,Argyll and Bute,,"TIREE LIBRARY, CORNAIG, ISLE OF TIREE, PA77 6XA",http://www.liveargyll.co.uk/library/tiree-library#overlay-context=libraries-archives-and-museums,,,2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,34
pub_lib.103,S12000035,Argyll and Bute,,"TOBERMORY LIBRARY, TOBERMORY HIGH SCHOOL, ISLE OF MULL, PA75 6PB",http://www.liveargyll.co.uk/library/tobermory-library,,,2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,35
pub_lib.104,S12000035,Argyll and Bute,,"AQUALIBRIUM (CAMPBELTOWN LIBRARY), AQUALIBRIUM, KINLOCH PARK, KINLOCH ROAD, CAMPBELTOWN, PA28 6EG",http://www.liveargyll.co.uk/library/campbeltown-library,,"Regular events and classes, Bookbug, Computers, Local Studies",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,36
pub_lib.105,S12000035,Argyll and Bute,,"CARDROSS LIBRARY, MAIN STREET, CARDROSS, G82 5PX",http://www.liveargyll.co.uk/library/cardross-library,,"Events for children, Computers, Local history",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,37
pub_lib.106,S12000035,Argyll and Bute,,"DUNOON LIBRARY, 248 ARGYLL STREET, DUNOON, PA23 7LT",http://www.liveargyll.co.uk/library/dunoon-library,,"Bookbug, Children's clubs",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,38
pub_lib.107,S12000035,Argyll and Bute,,"HELENSBURGH LIBRARY, WEST KING STREET, HELENSBURGH, G84 8EB",http://www.liveargyll.co.uk/library/helensburgh-library,,"Local collections, Computers, Exhibition space, Regular events and classes",2025-10-23,2d6b243e-75c0-47f2-9803-9957b55d5335,39
