SA1_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100208,0,18,52,22,22,4,10,0,0,134,6,4,7,3,3,4,8,3,0,46,0,0,0,0,0,0,0,0,0,3,5,24,62,28,27,16,15,6,0,183,0,5,55,45,26,5,3,0,0,143,9,11,30,15,8,11,7,0,0,87,0,0,0,3,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,9,22,90,61,38,16,10,0,0,245,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,7,23,93,61,43,18,10,0,0,251,7,10,7,7,7,10,16,12,6,76,0,0,0,0,6,0,0,0,0,8,13,33,101,70,53,27,27,12,6,337
80101100209,0,11,36,11,14,0,0,0,0,78,0,0,12,5,5,5,10,0,0,33,0,0,3,0,0,0,0,0,0,9,6,13,50,19,14,8,10,0,0,115,0,10,33,12,7,4,0,0,0,69,4,9,23,12,5,4,0,0,0,55,0,0,9,0,4,0,0,0,0,13,0,0,5,0,0,0,0,0,0,5,4,24,63,27,17,6,0,0,0,141,0,0,0,0,0,4,0,0,0,11,0,0,5,0,5,0,0,0,0,13,0,5,8,0,3,5,0,0,0,24,4,25,67,30,20,8,0,0,0,159,3,5,11,17,7,9,9,0,0,70,0,0,3,0,4,0,0,0,0,17,11,34,87,49,26,25,14,0,0,241
80101100210,0,18,34,26,16,6,0,0,0,111,0,0,3,4,6,13,12,10,0,56,0,7,0,4,0,0,3,0,0,9,3,20,42,33,23,19,19,10,0,175,0,13,54,27,19,10,5,0,0,127,4,18,10,15,5,4,0,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,9,4,32,68,43,24,16,7,0,0,195,0,0,0,0,4,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,10,4,32,71,51,31,16,7,0,0,203,3,4,6,7,10,17,30,26,3,99,0,5,5,3,0,0,3,0,0,24,5,39,84,59,45,34,37,26,3,328
80101100211,7,27,72,29,15,11,6,0,0,165,3,3,12,7,4,0,10,9,3,59,0,0,0,4,0,0,0,3,0,13,13,38,90,40,20,16,16,9,3,235,3,24,103,47,16,15,0,0,0,205,10,23,41,24,16,5,5,0,0,118,0,0,9,0,3,0,0,0,0,8,0,0,4,0,0,0,0,0,0,6,7,50,158,70,32,18,3,0,0,346,0,0,10,9,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,9,0,6,8,9,4,0,0,0,0,22,15,56,171,75,35,23,3,0,0,371,7,6,23,13,14,10,21,11,7,104,3,5,5,8,4,0,0,3,0,24,24,66,191,97,49,38,26,11,7,499
80101100212,4,11,18,20,9,6,0,0,0,74,0,0,5,5,0,4,31,74,95,217,0,0,0,0,0,3,0,0,3,10,3,13,23,23,10,10,28,74,97,296,0,8,24,27,11,8,3,0,0,81,0,11,10,4,5,5,3,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,20,39,39,16,14,6,0,0,135,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,20,46,39,16,14,6,0,0,141,0,4,5,5,3,3,45,118,140,328,0,4,0,0,0,4,0,4,3,15,6,32,50,42,17,22,48,123,148,486
80101100213,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,19
80101100215,0,43,110,27,6,8,3,0,0,193,0,16,16,3,5,0,5,5,0,45,0,5,7,0,0,0,0,0,0,13,5,55,129,32,12,7,4,5,0,248,0,30,165,48,12,12,4,0,0,274,0,31,56,10,5,0,0,0,0,105,0,7,7,3,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,9,0,60,238,69,19,13,0,0,0,398,0,8,8,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,4,0,7,10,0,0,0,0,0,0,21,0,68,246,73,19,12,0,0,0,426,6,20,27,4,3,0,11,5,0,78,0,6,13,0,0,0,0,0,0,21,13,91,289,74,21,13,10,7,0,522
80101100216,12,135,310,32,19,9,3,0,0,513,4,44,47,13,5,8,6,3,0,131,0,11,25,0,3,0,0,0,0,47,10,192,384,42,24,18,12,3,0,693,5,126,378,64,26,9,0,0,0,615,11,96,166,15,5,7,4,0,0,300,0,10,12,0,4,0,0,0,0,26,0,4,9,5,0,0,0,0,0,22,19,235,574,83,36,18,6,0,0,964,0,7,36,3,0,0,0,0,0,58,5,14,9,0,0,0,0,0,0,22,5,15,47,3,0,0,0,0,0,79,22,250,624,85,38,18,6,0,0,1038,6,80,85,17,5,13,9,3,0,224,3,23,57,0,12,0,0,0,0,104,29,355,772,100,56,31,12,7,0,1369
80101100217,0,34,61,23,13,9,0,0,0,133,0,4,10,0,3,4,6,3,0,33,0,5,3,0,0,0,0,0,0,16,0,37,78,28,14,10,5,3,0,179,0,22,89,33,16,8,5,0,0,170,6,20,38,5,0,3,3,0,0,83,0,5,0,5,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,6,44,133,40,23,18,7,0,0,269,0,0,3,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,8,3,0,0,0,0,0,10,6,48,136,47,23,18,5,0,0,280,0,6,13,4,7,6,16,7,0,52,0,0,12,3,0,0,0,0,0,27,6,56,169,54,28,24,14,4,0,358
80101100218,9,25,105,38,17,4,7,0,0,202,0,8,14,9,3,3,3,0,0,43,0,3,8,0,3,0,0,0,0,17,9,38,124,45,25,14,11,0,0,257,0,29,145,62,30,15,0,0,0,280,9,19,50,15,0,5,5,0,0,100,0,3,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,13,50,206,75,36,19,3,0,0,399,0,3,4,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,8,5,7,6,3,0,0,0,0,0,13,18,59,211,78,36,19,3,0,0,413,0,8,29,8,6,6,6,0,0,67,0,6,8,6,5,0,0,0,0,25,15,73,244,96,39,21,14,0,0,510
80101100219,0,17,79,26,11,4,3,0,0,139,0,6,3,0,0,0,0,3,0,13,0,0,4,3,0,0,0,0,0,5,0,26,90,30,5,3,3,3,0,159,0,22,134,43,13,8,4,0,0,221,0,16,46,11,0,4,0,0,0,73,0,0,0,6,0,0,0,0,0,5,0,4,4,0,0,0,0,0,0,9,0,42,178,62,11,12,5,0,0,306,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,42,184,67,15,12,5,0,0,315,0,5,18,0,0,0,0,0,0,34,0,0,3,3,0,0,0,0,0,7,3,48,196,70,18,11,3,0,0,364
80101100220,0,9,37,17,12,0,0,0,0,79,5,0,9,7,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,4,5,15,47,24,16,0,3,0,0,111,0,8,50,36,9,0,0,0,0,116,0,5,18,11,3,0,0,0,0,47,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,77,54,17,4,0,0,0,170,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,79,54,17,4,0,0,0,169,7,0,14,7,5,5,5,0,0,41,0,0,4,0,0,0,0,0,0,10,9,24,94,58,23,5,5,0,0,218
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8
80101100222,8,28,103,37,11,4,3,0,0,193,0,5,18,6,7,4,3,11,3,53,0,0,0,0,0,0,0,0,0,8,8,37,118,43,17,12,8,7,3,249,0,39,130,68,25,12,5,0,0,286,4,15,35,16,5,6,3,0,0,95,0,0,3,3,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,4,65,169,87,38,17,4,0,0,387,0,0,14,7,0,0,0,0,0,22,0,4,9,0,0,0,0,0,0,13,0,5,18,7,0,0,0,0,0,27,9,61,187,94,38,17,4,0,0,418,0,18,27,10,5,9,7,12,3,98,0,3,8,0,0,0,0,0,0,22,9,82,223,109,40,30,14,17,4,539
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,0,0,0,0,11
80101100224,18,51,21,0,0,0,0,0,0,86,8,19,6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,24,74,22,0,0,0,0,0,0,124,4,14,7,0,0,0,0,0,0,27,22,52,22,5,0,0,0,0,0,101,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,30,73,33,3,0,0,0,0,0,137,0,5,0,0,0,0,0,0,0,6,4,13,6,0,0,0,0,0,0,26,11,19,9,0,0,0,0,0,0,31,36,88,38,3,0,0,0,0,0,172,12,39,10,0,0,0,0,0,0,59,0,0,3,0,0,0,0,0,0,6,45,125,54,3,0,0,0,0,0,236
80101100225,0,37,62,29,11,9,0,0,0,140,0,6,11,4,0,3,12,9,0,46,0,3,0,0,0,0,0,0,0,3,0,40,73,32,14,15,16,9,0,194,0,29,69,42,19,15,5,0,0,186,6,19,35,7,0,7,0,0,0,79,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,57,113,49,26,20,7,0,0,272,0,0,6,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,7,0,3,6,7,0,0,0,0,0,14,3,56,125,51,26,26,7,0,0,283,0,17,20,4,0,12,21,13,6,87,0,0,0,4,0,0,0,0,0,11,3,74,142,59,26,33,29,13,6,386
80101100301,0,35,69,24,8,3,4,0,0,134,0,0,4,6,0,4,8,3,0,26,0,3,0,0,0,0,0,0,0,6,0,36,75,24,10,7,10,3,0,167,0,22,97,47,10,13,4,0,0,192,0,34,31,8,0,0,5,0,0,77,0,0,5,3,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,8,0,54,135,57,16,13,4,0,0,283,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,4,0,3,0,0,0,0,0,9,0,58,141,64,16,14,4,0,0,294,4,9,17,6,0,4,8,6,0,53,0,5,4,0,0,0,0,0,0,7,5,64,159,69,18,16,15,6,0,354
80101100304,9,52,119,70,42,15,0,0,0,309,6,8,10,5,3,12,13,7,0,64,0,0,5,4,0,0,0,0,0,14,12,57,134,79,50,33,18,7,0,391,3,43,161,103,57,30,4,0,0,399,8,51,56,24,20,4,0,0,0,159,0,0,13,7,5,0,0,0,0,23,0,3,0,3,0,0,0,0,0,9,16,95,231,138,80,31,8,0,0,595,4,5,4,6,0,0,0,0,0,16,0,5,4,0,0,0,0,0,0,10,3,5,10,4,0,0,0,0,0,22,19,98,241,144,77,31,8,0,0,617,5,9,24,11,3,21,21,10,4,106,0,0,9,10,0,6,0,0,0,28,29,110,271,163,83,62,31,12,4,753
