route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4-10647,2023-COMBNXT-Weekday-11,68041370-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041371-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041372-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041373-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041374-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041375-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041376-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041377-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041378-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041379-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041380-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041381-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041382-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041383-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041384-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041385-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041386-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041387-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041388-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041389-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041390-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041391-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041392-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041393-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041394-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041395-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041396-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041397-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041398-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041399-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
