SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80104104014,7,7,0,0,0,12,3,0,8,8,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,10,31,11,67,22,23,4,167
80104104015,0,4,5,0,0,17,4,3,9,0,3,0,22,0,0,0,0,0,0,4,0,0,3,0,4,0,9,0,0,0,0,0,5,8,39,12,56,26,37,6,175
80104104017,0,4,0,0,0,10,0,0,4,4,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,61,6,43,24,25,0,162
80104104018,0,6,0,0,0,6,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,0,26
80104104019,0,9,3,4,0,14,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,31,16,12,0,79
80104104020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104021,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,3,0,20
80104104022,0,5,4,0,0,3,0,0,4,6,3,0,17,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,5,44,21,14,4,132
80104104023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104024,0,0,0,0,0,6,0,0,11,0,0,3,15,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,3,0,0,28,18,49,17,18,7,125
