SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80107108602,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,14,9,10,29,33,6,10,0,123
80107108603,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,7,12,27,18,25,58,35,15,18,3,211
80107108604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,11,8,31,23,4,12,0,118
80107108605,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,3,0,0,8,22,15,17,66,53,21,31,0,231
80107108701,0,0,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,12,25,19,16,60,52,12,15,4,234
80107108702,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,17,18,15,51,54,24,17,0,209
80107108703,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,25,24,22,74,81,23,36,5,310
80107108704,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,17,9,7,8,36,38,9,13,0,143
80107108705,0,6,0,0,3,0,0,5,0,10,0,0,3,0,4,0,0,5,4,10,6,24,28,25,66,51,9,30,8,246
80107108706,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,13,19,37,30,27,84,79,11,33,5,319
80107108707,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,9,15,8,30,39,3,17,0,141
80107108801,0,0,3,0,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,5,11,49,21,22,81,64,16,32,0,297
80107108802,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,24,12,15,51,34,19,20,0,178
80107108803,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,17,24,18,16,58,47,17,24,3,225
80107108804,0,4,0,4,0,6,0,0,0,9,0,0,0,0,5,0,0,0,0,3,10,30,25,12,75,65,16,24,0,256
80107108805,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,7,10,18,13,54,50,11,21,0,193
80107108806,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,10,15,14,15,14,43,37,21,14,0,174
80107108807,3,0,0,0,6,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,18,18,23,18,61,66,16,31,0,251
80107108808,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,3,10,12,13,11,47,44,10,16,0,160
80107108809,0,0,0,3,0,0,3,0,0,13,0,0,0,0,3,3,0,0,0,10,25,36,19,21,90,76,22,35,0,333
80107108810,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,13,13,12,32,26,14,4,5,135
80107108901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,8,5,0,3,0,28
80107109001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,10,12,13,21,7,10,0,93
80107109002,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,9,10,15,24,25,5,6,0,96
80107109003,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,49,27,16,48,57,17,25,0,247
80107109004,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,6,0,0,0,3,10,25,35,21,83,68,22,29,0,285
80107109005,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,21,22,23,48,35,11,17,5,192
80107109006,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,14,18,12,14,47,46,13,21,3,199
80107109007,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,24,32,13,58,45,14,17,3,222
80107109008,0,5,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,38,18,17,70,71,10,33,3,278
80107109009,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,27,13,7,50,32,19,17,3,167
80107109010,0,3,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,20,53,37,18,54,50,15,31,3,278
80107109011,0,4,3,0,4,0,0,0,0,8,0,0,0,0,3,3,3,4,0,9,15,27,23,29,65,52,20,21,3,263
80107109012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,10,42,27,12,10,0,133
80107109013,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,12,18,22,13,38,39,15,20,0,173
