SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100705,0,0,0,0,4,0,0,0,0,8,0,0,5,0,0,0,0,0,0,5,12,20,51,69,50,43,10,0,0,263
80101100706,0,4,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,12,9,12,74,54,39,15,12,0,0,221
80101100707,0,3,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,9,33,72,69,32,10,0,0,246
80101100708,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,9,57,59,25,7,15,0,0,170
80101100709,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,15,41,42,31,17,0,0,0,160
80101100710,0,0,0,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,7,20,57,54,38,27,13,0,0,220
80101100711,0,3,3,3,5,0,0,0,0,14,0,0,5,3,0,0,0,0,0,8,22,28,80,74,71,42,9,0,0,333
80101100712,0,0,4,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,8,27,21,40,59,61,26,3,0,0,230
80101100713,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,8,12,12,41,30,32,23,7,0,0,153
80101100714,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,11,30,30,40,23,4,0,0,160
80101100801,0,0,5,0,5,3,0,0,0,13,0,0,0,3,0,0,0,0,0,8,8,20,39,34,32,27,8,3,0,171
