SA1_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80107108602,0,0,0,0,7,13,0,7,0,22,3,3,4,5,5,10,0,0,0,36,0,0,0,0,5,4,0,0,0,12,3,0,0,0,0,0,0,0,0,14,0,0,0,0,11,3,0,0,0,15,0,4,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,14,9,10,29,33,6,10,0,123
80107108603,0,0,0,4,9,9,0,3,0,32,3,3,6,4,23,12,3,4,0,56,4,3,0,0,10,4,0,4,0,34,5,7,0,0,8,4,0,0,0,25,0,6,3,5,11,0,3,0,0,32,0,4,0,3,10,4,0,0,0,15,0,0,0,0,4,0,0,0,0,7,0,5,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,27,18,25,58,35,15,18,3,211
80107108604,0,0,0,0,3,3,0,0,0,14,0,3,5,4,7,12,0,4,0,36,0,0,0,0,9,4,0,0,0,14,0,4,0,0,0,0,0,0,0,8,5,3,0,0,9,3,0,0,0,25,3,6,0,0,0,0,0,0,0,7,0,5,0,0,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,15,11,8,31,23,4,12,0,118
80107108605,0,0,0,0,10,16,5,11,0,44,4,4,6,0,22,15,4,4,0,56,0,3,0,4,10,11,0,3,0,29,3,0,3,6,3,3,4,0,0,21,0,7,3,3,17,6,3,0,0,43,0,3,0,0,0,6,0,0,0,11,0,0,0,0,3,0,0,4,0,9,0,5,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,6,8,22,15,17,66,53,21,31,0,231
80107108701,0,0,3,6,8,7,6,3,0,33,3,6,0,4,12,8,0,0,0,43,0,0,3,3,9,14,0,3,0,33,3,4,3,0,10,3,4,0,0,26,5,0,5,4,19,8,0,0,0,48,0,5,0,3,0,3,0,0,0,17,0,0,0,0,6,5,5,9,0,18,0,3,5,0,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,25,19,16,60,52,12,15,4,234
80107108702,0,0,0,7,0,10,3,4,0,30,0,0,5,0,17,13,7,0,0,44,0,4,0,0,9,13,3,3,0,30,0,3,4,3,4,7,0,0,0,30,4,4,5,0,12,11,0,0,0,32,0,0,9,0,9,0,0,0,0,16,0,0,0,0,0,3,4,7,0,17,0,5,0,0,0,6,4,0,0,17,0,0,0,0,0,0,0,0,0,3,7,17,18,15,51,54,24,17,0,209
80107108703,0,0,3,4,6,7,6,7,0,29,3,0,0,3,15,16,6,11,0,64,0,0,0,0,5,15,5,10,0,46,5,5,5,4,5,0,3,3,0,37,5,5,3,3,28,15,0,0,0,56,0,7,4,0,4,6,0,0,0,22,0,6,0,0,4,7,0,4,0,21,0,4,0,0,4,9,5,0,0,27,0,0,0,0,0,5,0,0,0,4,18,25,24,22,74,81,23,36,5,310
80107108704,0,0,0,0,4,0,0,3,0,19,5,0,0,4,14,6,0,0,0,31,3,0,0,0,4,5,6,3,0,22,0,4,6,0,3,4,0,0,0,15,0,0,0,0,3,8,0,0,0,21,0,7,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,3,0,13,0,0,0,0,0,0,0,0,0,3,17,9,7,8,36,38,9,13,0,143
80107108705,0,0,0,0,13,0,0,5,0,18,3,5,4,0,12,8,0,4,0,34,5,3,4,5,12,13,0,10,0,52,0,6,5,5,7,5,0,0,0,28,0,12,6,0,17,10,3,7,0,53,0,3,5,0,0,0,0,0,0,16,0,0,0,0,5,7,3,8,0,32,0,4,7,0,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,3,6,24,28,25,66,51,9,30,8,246
80107108706,0,3,0,0,7,15,0,7,0,34,3,4,0,4,15,15,6,6,0,59,0,0,5,4,16,20,3,8,0,53,8,9,10,6,10,5,0,3,0,39,3,5,3,9,23,8,0,0,0,57,0,7,5,0,6,4,0,0,0,19,0,4,0,0,9,8,0,4,0,20,0,6,4,4,0,5,0,3,0,22,0,0,0,0,4,5,0,0,0,9,19,37,30,27,84,79,11,33,5,319
80107108707,0,0,0,0,3,10,0,0,0,17,0,0,4,0,11,10,0,0,0,29,0,0,0,3,7,5,3,0,0,21,0,0,0,0,0,4,0,0,0,22,6,0,0,0,5,8,0,0,0,15,0,3,0,0,5,3,0,0,0,10,0,0,0,0,3,5,0,5,0,13,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,6,11,9,15,8,30,39,3,17,0,141
80107108801,3,5,4,3,22,7,0,8,0,52,0,7,3,4,16,15,4,7,0,64,0,0,4,4,5,13,0,8,0,41,0,9,5,5,10,3,0,3,0,36,0,3,8,3,24,15,0,0,0,55,0,17,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,12,0,6,5,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,11,49,21,22,81,64,16,32,0,297
80107108802,0,0,0,0,6,5,8,5,0,33,6,3,5,4,18,7,0,5,0,45,0,0,0,9,0,7,0,3,0,24,0,4,3,4,3,0,0,0,0,18,0,3,0,0,12,3,0,3,0,32,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,10,0,0,0,0,0,4,0,0,0,4,4,24,12,15,51,34,19,20,0,178
80107108803,3,0,0,0,8,12,3,7,0,41,5,4,8,3,16,13,0,5,0,53,0,7,0,0,4,8,0,0,0,24,0,7,4,4,6,4,4,0,0,29,3,0,6,0,17,7,0,0,0,37,0,6,0,0,5,0,0,3,0,16,0,0,0,0,0,6,0,0,0,6,0,4,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,17,24,18,16,58,47,17,24,3,225
80107108804,4,0,0,0,8,10,6,8,0,37,0,5,0,6,31,15,0,9,0,69,0,0,0,0,7,12,3,5,0,29,0,8,7,3,6,7,0,0,0,27,0,3,5,5,18,18,0,0,0,45,4,4,0,0,0,0,0,0,0,10,0,3,5,0,0,0,0,0,0,9,0,0,4,0,4,5,0,0,0,14,0,0,5,0,5,0,0,0,0,4,10,30,25,12,75,65,16,24,0,256
80107108805,0,0,0,0,10,10,0,3,0,26,4,0,6,4,5,15,5,3,0,32,0,0,0,0,7,12,0,4,0,20,0,7,5,0,4,0,3,0,0,19,3,0,8,0,21,9,0,0,0,48,0,0,0,0,3,0,5,0,0,16,0,0,0,0,3,6,0,3,0,10,0,0,0,0,0,6,0,3,0,9,0,5,0,0,0,0,0,0,0,4,7,10,18,13,54,50,11,21,0,193
80107108806,0,0,0,0,5,5,6,0,0,19,0,0,0,0,9,5,0,3,0,21,3,0,0,0,3,5,5,3,0,32,0,3,6,0,5,3,0,3,0,28,5,0,3,7,18,11,0,5,0,36,3,4,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,11,0,0,3,0,0,3,0,0,0,11,0,0,0,0,3,3,0,0,0,7,15,14,15,14,43,37,21,14,0,174
80107108807,3,0,0,0,0,14,0,7,0,38,3,3,3,7,15,13,4,4,0,53,0,0,3,3,16,15,6,3,0,36,0,6,8,3,5,8,0,0,0,27,0,0,3,7,14,11,3,0,0,43,0,0,5,0,6,3,0,0,0,15,0,3,5,0,0,0,3,9,0,17,0,4,4,0,4,5,0,3,0,19,0,3,0,0,4,0,0,0,0,7,18,18,23,18,61,66,16,31,0,251
80107108808,3,0,0,3,8,3,0,0,0,16,0,4,0,5,10,8,0,0,0,32,0,0,0,0,7,12,3,6,0,27,0,4,4,0,3,3,0,4,0,18,5,0,3,0,7,3,0,0,0,25,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,4,0,0,8,0,3,0,0,7,5,0,0,0,14,0,0,0,0,3,0,0,0,0,3,10,12,13,11,47,44,10,16,0,160
80107108809,7,0,0,0,19,13,6,12,0,56,5,0,6,4,18,21,5,10,0,67,5,0,5,0,9,10,7,7,0,41,3,8,0,4,4,13,4,0,0,36,0,8,3,8,28,9,4,0,0,61,0,18,0,0,8,0,0,3,0,29,0,0,5,0,0,3,0,0,0,9,0,5,0,3,0,8,0,0,0,17,0,0,0,0,4,5,0,0,0,11,25,36,19,21,90,76,22,35,0,333
