SA1_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
80101100208,0,0,0,0,0,0,0,0,0,9,0,3,0,7,4,0,0,3,0,22,13,39,12,10,10,5,0,4,0,90,13,19,3,9,6,0,0,3,3,61,9,17,0,9,7,0,0,0,0,38,0,9,0,0,0,0,0,0,0,16,0,4,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,82,25,42,28,10,4,9,4,245
80101100209,0,0,0,0,0,0,0,0,0,4,0,6,4,3,6,4,0,3,0,24,3,14,8,12,4,10,0,5,3,63,0,7,8,3,4,0,7,4,0,27,0,4,0,0,0,3,0,6,0,17,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,16,25,8,14,9,27,3,141
80101100210,0,0,0,0,0,0,0,0,0,4,0,3,0,5,8,7,0,0,0,32,4,22,8,6,15,7,3,3,4,68,3,19,4,3,5,0,0,3,0,43,9,8,4,0,6,0,0,0,0,24,3,5,0,4,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,19,23,30,12,0,9,4,195
80101100211,0,0,0,5,0,0,6,0,0,7,0,11,6,13,8,6,0,0,0,50,13,48,16,19,17,24,9,8,0,158,14,13,3,10,8,3,5,0,4,70,0,8,3,5,4,0,0,3,0,32,0,9,4,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,95,39,49,47,32,16,24,6,346
80101100212,0,0,0,0,0,0,0,0,0,6,0,4,0,4,7,0,3,0,0,20,4,23,3,3,0,0,5,0,0,39,3,19,6,0,7,0,0,0,0,39,3,4,0,0,0,0,0,0,0,16,9,4,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,5,11,18,9,6,3,6,135
80101100213,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,14
80101100215,0,0,0,0,0,0,0,0,0,0,0,18,5,18,12,9,0,0,0,60,31,99,28,15,28,17,5,3,4,238,12,27,12,4,13,0,0,3,0,69,3,5,0,0,6,0,0,0,0,19,0,4,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,152,48,46,62,29,7,15,9,398
80101100216,0,0,4,6,0,3,0,0,0,19,11,43,17,50,26,58,7,16,10,235,56,186,60,71,55,60,21,38,14,574,14,20,13,9,13,10,3,3,0,83,10,13,0,0,4,4,3,3,0,36,6,6,0,3,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,270,92,143,111,130,40,62,23,964
80101100217,0,0,0,5,0,0,0,0,0,6,0,9,0,13,7,4,0,3,0,44,10,44,14,24,11,12,4,8,6,133,5,16,4,8,6,3,0,0,0,40,3,6,4,0,4,0,0,0,0,23,0,9,0,0,4,0,0,3,0,18,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,86,22,51,32,24,8,17,10,269
80101100218,3,0,0,7,0,4,0,0,0,13,0,9,10,13,3,11,0,3,0,50,20,79,16,28,34,19,0,6,0,206,15,28,10,5,9,10,5,0,0,75,7,14,3,3,7,0,0,0,0,36,0,7,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,141,36,47,66,38,10,17,3,399
80101100219,0,0,0,0,0,0,0,0,0,0,0,12,9,8,8,11,0,0,3,42,20,66,14,26,25,7,3,6,5,178,3,29,4,5,9,0,0,0,0,62,0,7,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,122,28,42,38,20,3,11,8,306
80101100220,0,0,0,0,0,0,0,0,0,0,0,5,0,9,6,3,0,0,0,19,10,26,11,16,12,0,3,4,0,77,9,25,8,4,3,0,0,3,0,54,4,4,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,57,18,26,22,6,0,10,0,170
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,0,0,0,0,0,3,0,0,0,4,4,17,6,9,9,12,0,4,0,65,30,65,12,22,22,9,0,3,0,169,16,32,4,9,17,3,0,4,4,87,8,13,0,5,6,4,0,0,0,38,10,5,0,4,4,0,0,0,0,17,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,139,28,53,57,27,4,11,7,387
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
80101100224,0,0,0,14,0,11,0,9,0,30,7,3,4,24,9,25,0,5,0,73,0,12,0,4,0,9,0,5,0,33,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,7,40,11,39,3,12,0,137
80101100225,0,0,0,0,0,0,0,0,0,3,0,19,0,7,12,4,0,8,0,57,18,45,9,10,9,6,3,9,8,113,10,21,3,4,3,0,0,4,0,49,10,5,0,3,10,0,0,0,0,26,3,8,0,4,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,98,20,35,40,14,3,12,10,272
80101100301,0,0,0,0,0,0,0,0,0,0,0,13,4,16,6,9,0,4,0,54,16,59,12,11,18,0,3,13,0,135,6,32,6,5,6,0,0,0,0,57,3,5,0,0,3,0,0,0,0,16,0,5,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,119,19,32,39,16,4,16,3,283
80101100304,0,3,0,6,0,3,0,0,0,16,9,27,0,18,12,16,0,5,3,95,36,86,12,41,23,13,0,10,8,231,27,63,10,10,16,4,0,10,6,138,15,27,4,6,12,0,4,0,0,80,9,13,0,0,4,6,0,3,3,31,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,220,31,78,76,46,9,27,18,595
80101100306,0,0,0,4,0,4,0,0,0,3,5,11,6,13,8,10,0,3,0,38,12,36,6,14,15,6,4,5,0,95,11,21,3,3,9,0,0,0,0,54,9,11,0,0,3,3,0,0,4,29,3,6,0,0,3,0,0,0,0,18,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,89,12,32,36,17,6,7,5,246
80101100307,0,0,0,0,0,0,0,0,0,7,3,5,7,5,13,5,0,3,0,42,0,19,11,6,3,8,4,0,0,49,9,11,0,0,0,0,4,0,0,32,4,9,0,0,3,4,0,0,0,21,6,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,17,9,20,13,3,12,4,155
80101100308,0,8,8,78,19,53,3,19,5,186,21,27,13,110,26,85,7,23,4,324,5,16,5,27,14,14,0,13,5,90,0,4,0,0,0,5,0,3,0,12,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,20,224,61,153,15,59,8,621
80101100309,0,0,4,4,0,3,0,0,0,14,5,16,6,8,8,9,0,3,0,43,9,30,15,8,8,4,0,3,3,81,4,21,3,0,7,0,0,0,0,35,9,14,0,0,0,0,0,0,0,23,6,10,0,0,0,0,0,0,0,13,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,22,29,23,15,5,5,0,220
80101100310,0,0,0,5,0,3,0,5,0,10,0,3,0,4,5,4,0,4,0,19,5,18,6,4,3,0,0,3,0,36,6,9,5,6,7,0,0,3,0,34,10,13,0,0,5,0,0,0,0,30,0,11,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,52,15,20,15,9,0,19,0,159
80101100311,0,0,0,0,0,3,0,0,0,6,0,0,7,3,5,5,0,5,0,28,9,28,12,10,8,7,0,4,0,78,8,8,0,0,4,0,0,0,0,27,4,6,3,0,9,0,0,0,0,19,5,14,0,0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,54,14,20,26,14,0,15,0,177
80101100312,0,0,0,4,0,8,0,0,0,17,3,18,0,14,7,12,0,4,4,61,18,45,10,14,16,8,0,8,10,117,20,37,9,3,6,10,0,0,0,81,11,21,4,8,5,0,0,0,3,59,14,23,0,5,9,0,0,0,0,45,5,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,147,26,42,40,36,4,12,19,406
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,0,0,0,18
80101100315,0,0,0,4,0,4,0,0,0,10,0,5,5,7,9,0,0,3,0,26,4,20,6,9,7,3,3,3,0,46,0,17,0,0,0,0,0,0,0,28,10,18,0,3,5,0,0,0,0,40,3,4,3,0,3,0,0,0,0,24,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,79,13,27,30,6,3,9,0,188
80101100316,0,0,0,3,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,7,9,14,0,0,0,0,0,0,0,26,4,3,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,20,3,5,7,8,0,0,0,55
80101100317,0,0,0,0,0,7,0,0,0,0,4,16,8,23,8,13,0,4,0,75,17,82,23,28,24,19,0,10,5,208,6,24,4,3,10,4,0,0,0,50,0,3,0,0,4,0,0,0,6,11,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,128,39,46,46,37,0,18,11,363
80101100318,0,0,0,5,0,8,0,0,0,10,0,5,0,0,0,4,0,0,0,11,0,10,5,0,5,0,0,0,0,15,9,17,0,0,0,0,0,0,0,25,12,15,0,0,3,0,0,0,0,32,10,10,0,0,6,0,0,0,0,22,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,60,6,11,11,9,0,0,0,132
80101100319,0,0,0,3,0,0,0,0,0,4,0,9,5,0,0,0,0,0,0,12,5,14,11,7,7,5,0,0,3,48,5,14,0,0,3,0,0,0,0,30,4,7,5,0,4,0,0,0,0,26,3,15,0,4,3,0,0,0,0,25,3,4,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,61,18,15,25,7,0,3,3,154
80101100320,0,0,0,3,0,0,0,0,0,7,7,8,8,14,12,4,0,3,0,48,10,41,8,5,19,0,0,0,0,88,41,35,8,3,9,0,0,3,0,92,16,8,0,4,5,0,0,0,0,33,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,96,20,24,45,10,3,3,6,276
80101100321,0,0,0,0,0,4,0,0,0,8,5,15,4,10,5,5,0,3,0,51,7,54,18,15,20,8,0,11,7,155,8,26,8,9,11,0,0,0,5,71,3,16,0,4,5,4,0,0,0,33,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,117,24,42,45,21,5,23,14,318
80101100322,0,0,0,0,0,4,0,0,0,7,3,19,5,16,8,8,5,3,0,63,17,58,15,17,26,9,6,6,0,157,16,29,9,0,3,4,6,8,0,71,7,8,0,4,0,0,0,0,0,14,0,12,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,118,29,37,45,18,12,20,4,325
80101100401,0,0,3,0,0,0,0,0,0,0,0,3,4,4,0,5,0,0,0,13,9,3,8,3,3,0,0,4,0,27,0,3,4,3,8,0,0,0,0,27,6,4,6,5,6,0,0,5,0,25,0,6,0,0,5,0,0,4,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,25,15,22,3,4,5,0,122
80101100402,0,0,0,0,0,0,0,0,0,6,0,0,4,7,5,5,0,0,0,19,7,17,18,3,10,3,4,0,0,57,10,17,11,11,11,4,0,0,4,61,6,21,10,3,9,0,9,6,0,64,0,3,0,0,13,3,0,3,0,26,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,62,42,24,48,14,16,10,0,237
80101100403,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,3,0,0,0,7,0,17,7,13,10,5,0,3,9,52,17,12,13,15,14,3,0,4,0,83,8,7,8,3,11,3,0,0,0,45,4,4,0,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,48,28,34,37,21,4,12,6,218
80101100404,0,0,0,5,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,6,12,11,4,5,4,0,0,8,0,40,6,17,8,11,9,6,0,3,4,67,5,3,4,4,11,0,3,0,3,32,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,26,26,36,11,0,10,8,170
80101100405,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,17,9,9,11,9,12,5,3,0,5,67,7,9,4,3,3,3,3,7,0,40,6,9,5,5,9,0,3,0,0,45,0,0,3,4,11,3,6,4,0,27,0,5,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,27,31,44,15,14,24,12,223
80101100406,0,0,0,3,0,6,0,9,0,18,0,8,10,3,4,5,3,4,0,37,3,15,25,5,7,5,8,3,0,79,7,14,11,8,5,0,0,6,0,61,9,5,3,9,9,0,3,6,3,46,5,6,9,5,4,4,6,6,0,34,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,55,43,32,20,20,20,5,286
80101100408,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,6,3,4,7,0,0,0,0,23,3,12,4,6,3,0,0,6,0,32,3,5,4,3,8,0,0,0,0,18,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,19,22,21,3,0,7,0,100
80101100409,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,15,4,11,11,7,0,5,3,4,0,53,0,8,5,9,7,3,4,0,0,40,0,9,8,4,0,0,0,3,0,21,3,0,3,3,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,33,26,11,7,14,15,0,156
80101100501,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,17,4,6,3,0,0,0,0,38,9,26,3,7,9,0,0,0,0,50,6,10,0,0,0,0,0,0,0,29,0,7,0,0,0,0,0,3,0,12,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,14,15,19,6,0,10,0,138
80101100502,0,0,4,0,0,3,0,3,0,13,3,0,0,5,0,4,0,0,0,16,7,14,8,3,7,3,0,0,0,38,11,29,6,8,5,0,0,0,0,55,18,28,10,4,7,0,0,0,0,64,8,7,5,0,7,0,0,0,0,29,4,0,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,44,82,24,15,27,17,0,3,3,221
