SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
80104103522,19,10,0,0,0,0,37,0,0,5,0,0,0,0,0,8,7,14,42,16,5,4,0,0,81,3,10,16,5,6,0,0,0,34,4,9,7,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,3,0,0,0,0,28,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,10,48,85,44,13,10,0,0,206
80104103601,13,3,8,3,0,0,43,0,0,4,3,0,0,0,0,10,4,30,28,16,9,3,0,0,93,4,8,20,9,6,0,0,0,43,3,19,17,7,7,4,0,0,57,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,7,8,20,24,7,7,3,0,0,70,3,0,0,0,0,0,0,0,6,6,0,4,0,5,0,0,0,17,23,70,96,40,31,21,0,0,278
80104103604,25,7,5,0,0,0,50,0,4,6,4,4,0,0,0,17,0,25,27,16,8,0,0,0,71,5,7,15,10,7,0,0,0,47,3,22,11,11,3,4,0,0,57,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,11,7,25,16,14,8,4,0,0,65,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,8,65,103,46,26,10,3,0,264
80104103605,4,4,5,0,0,0,28,0,0,0,0,3,0,0,0,6,5,11,16,7,0,0,0,0,45,0,8,7,12,3,0,0,0,28,3,8,8,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,8,11,4,4,6,0,0,38,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,8,15,35,45,34,18,6,6,0,151
80104103606,23,0,0,0,0,0,33,0,5,7,0,0,0,0,0,7,3,23,35,3,4,10,0,0,80,0,13,7,6,0,3,0,0,29,3,21,11,4,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,13,4,3,0,0,0,45,0,3,0,0,0,0,0,0,5,0,5,5,0,3,0,0,0,10,9,70,83,16,10,12,0,0,208
80104103607,17,5,6,0,0,0,28,0,6,0,0,0,0,0,0,6,0,10,22,17,9,0,0,0,62,0,7,12,4,0,0,0,0,22,0,11,18,4,4,0,0,0,32,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,11,21,4,3,0,0,0,37,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,13,7,42,68,34,22,4,0,0,177
80104103608,22,11,6,0,0,0,49,0,7,3,0,0,0,0,0,12,4,22,41,19,0,5,0,0,96,0,14,12,8,3,0,0,0,49,9,23,16,13,7,0,0,0,61,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,30,18,11,7,0,0,0,75,0,0,3,0,0,0,0,0,7,5,8,8,0,0,0,0,0,27,13,93,98,54,25,21,4,0,308
80104103609,35,7,3,0,0,0,77,0,0,7,0,0,4,0,0,17,4,52,47,6,6,4,0,0,127,4,11,20,11,0,0,0,0,55,11,26,13,7,0,0,0,0,62,0,3,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,3,16,28,19,10,0,4,0,0,75,0,3,0,0,0,0,0,0,0,3,9,8,4,0,0,0,0,23,29,133,143,36,15,15,9,0,371
80104103610,11,7,0,0,0,0,39,0,5,4,0,0,0,0,0,11,4,13,7,6,3,0,0,0,39,0,9,14,3,0,0,0,0,25,5,14,4,7,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,6,8,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,14,65,38,27,9,6,0,0,159
80104103611,7,7,0,0,0,0,21,0,0,3,0,6,0,0,0,10,0,0,17,9,3,0,0,0,34,0,5,13,8,4,0,0,0,28,3,9,16,7,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,6,9,19,14,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,17,65,38,21,3,3,0,152
