SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80107108221,5,5,6,0,0,8,0,0,0,30,85,45,38,60,36,38,34,10,7,354
80107108222,10,8,0,9,4,0,0,0,0,31,57,57,43,40,65,47,53,8,0,381
80107108223,8,6,0,0,0,0,0,0,0,21,59,33,33,29,47,21,32,14,0,268
80107108224,4,0,0,7,0,3,4,0,0,20,88,41,62,57,48,65,47,23,8,426
80107108225,0,5,0,4,0,0,0,3,0,12,60,26,42,42,31,22,26,20,3,275
80107108226,3,0,0,4,3,3,0,4,0,29,114,30,69,85,45,44,57,31,7,497
80107108227,4,6,7,6,3,0,0,0,0,28,103,39,70,68,52,34,61,21,5,445
80107108228,0,3,3,4,0,0,0,0,0,13,38,23,28,35,22,20,34,13,0,211
80107108229,9,9,4,9,4,3,5,3,0,42,102,61,44,70,72,56,75,29,4,518
80107108230,3,0,0,0,4,0,4,4,0,14,64,26,28,42,37,43,50,20,0,311
80107108231,9,5,8,12,0,3,5,0,0,43,59,48,47,39,51,39,46,18,5,346
80107108232,0,0,0,0,0,0,0,0,0,4,52,39,15,24,54,73,42,9,4,317
80107108233,0,3,0,4,0,0,0,0,0,9,52,33,40,46,37,34,22,8,0,283
80107108234,9,0,0,4,0,0,0,0,0,16,75,28,37,45,47,33,41,10,3,323
80107108235,9,5,4,11,0,0,5,0,0,39,123,89,85,70,81,52,64,27,4,604
80107108236,6,5,8,0,0,5,3,0,0,27,133,60,53,86,67,56,82,31,13,579
80107108237,0,0,0,0,5,0,6,0,0,12,51,56,21,28,60,79,66,24,3,394
80107108238,6,3,0,0,0,6,0,0,0,14,53,42,23,31,55,73,55,31,8,367
80107108239,3,6,0,0,4,5,0,0,0,15,67,35,41,52,47,25,25,13,3,305
80107108240,4,4,0,0,3,0,0,0,0,17,43,26,19,24,34,33,32,15,3,238
80107108241,4,6,0,0,3,5,0,4,0,25,75,54,63,46,59,60,55,16,3,440
80107108301,8,3,4,4,0,3,4,0,0,24,136,48,46,91,65,71,61,12,0,535
80107108302,0,0,3,0,0,0,6,0,0,8,83,52,54,59,55,59,48,13,3,421
80107108303,0,0,0,0,3,3,0,0,0,9,80,42,58,53,64,71,60,6,5,444
80107108401,0,0,0,0,0,0,0,0,0,0,22,28,27,23,36,34,26,9,3,192
80107108402,10,0,4,4,0,0,0,0,0,20,69,22,15,49,39,24,28,11,0,266
80107108403,5,0,5,0,4,4,0,0,0,14,74,24,59,42,34,45,42,13,0,325
80107108404,3,0,7,3,5,0,0,3,0,25,89,41,53,60,50,40,39,24,4,403
80107108405,4,0,0,6,0,0,0,0,0,11,42,37,48,40,31,67,59,25,9,342
80107108406,0,0,0,0,0,4,0,0,0,8,58,25,34,42,20,35,48,3,3,272
80107108407,0,0,3,0,5,0,0,0,0,11,57,38,31,35,43,48,38,12,3,304
80107108408,5,3,3,3,0,5,0,0,0,19,83,50,56,58,39,51,61,11,3,412
80107108409,0,5,0,0,3,6,8,0,0,13,37,36,15,36,39,54,31,16,0,259
80107108410,0,3,0,0,0,3,0,0,0,6,42,27,25,33,33,50,11,10,5,237
80107108411,0,0,0,0,3,0,4,0,0,17,72,42,52,49,48,62,52,9,0,388
80107108412,4,3,0,0,7,7,6,4,0,26,63,37,54,44,51,54,37,38,9,387
80107108413,0,0,0,0,0,4,0,0,0,8,37,19,27,29,30,32,34,8,0,213
80107108414,0,0,0,4,0,3,0,0,0,11,54,27,50,43,31,34,20,12,7,278
80107108415,9,0,0,0,0,0,0,4,0,15,89,40,46,57,51,36,33,17,0,371
80107108417,0,4,0,0,0,3,3,4,12,26,42,36,29,27,33,52,40,105,110,475
80107108418,0,0,0,4,0,0,0,0,5,12,52,19,33,37,30,39,24,6,3,234
80107108419,0,0,0,0,0,0,0,4,10,17,0,0,0,0,0,0,10,71,122,200
80107108420,0,0,0,0,4,6,0,0,0,11,10,6,3,12,16,21,19,3,0,76
80107108501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108601,5,0,0,4,4,5,0,0,0,19,76,32,50,27,48,44,33,4,6,318
80107108602,3,3,5,0,0,6,0,0,0,17,46,32,16,34,31,43,30,12,0,244
80107108603,12,3,9,0,5,0,0,0,0,32,101,59,53,53,59,63,50,6,4,446
80107108604,0,4,6,0,5,0,0,0,0,11,53,40,31,28,27,38,31,9,3,259
80107108605,5,0,0,6,4,0,3,3,0,27,67,53,62,52,49,73,69,13,7,442
80107108701,9,0,4,0,5,3,0,4,0,25,100,60,68,73,60,58,31,12,5,469
80107108702,6,0,0,0,0,5,3,0,0,24,89,54,58,64,48,57,22,3,4,399
80107108703,9,8,0,8,10,4,0,0,0,36,111,69,87,80,81,74,54,10,4,578
80107108704,0,8,5,5,0,0,0,0,0,15,35,33,60,34,25,29,20,8,0,248
80107108705,4,8,9,0,0,0,3,0,0,28,92,63,69,56,77,53,34,12,5,472
80107108706,14,5,8,7,3,4,8,0,0,44,124,78,89,84,81,67,69,16,4,612
80107108707,5,0,3,9,0,0,5,0,0,18,55,23,43,40,25,44,33,14,5,280
80107108801,3,4,0,3,3,0,0,0,0,23,95,86,67,63,64,76,33,10,3,497
80107108802,0,4,0,3,0,0,0,0,0,10,51,40,43,29,38,59,16,9,5,290
80107108803,0,0,0,3,0,0,3,0,0,5,61,43,52,42,43,66,42,0,4,348
80107108804,0,0,0,3,0,0,0,0,0,6,72,51,70,52,62,58,33,14,0,411
80107108805,14,0,7,0,0,0,0,0,0,26,86,38,73,50,32,46,16,8,7,361
80107108806,0,3,7,5,3,0,4,0,0,22,50,56,49,31,47,42,23,6,0,303
80107108807,5,0,4,5,3,0,0,0,0,21,100,50,55,72,79,55,26,5,5,444
80107108808,4,6,5,0,0,4,0,0,0,23,67,41,43,53,34,43,21,8,0,314
80107108809,5,9,6,6,9,4,0,0,0,39,95,91,74,72,98,94,42,5,0,568
80107108810,0,3,0,0,9,0,0,0,0,12,48,31,43,33,42,25,16,6,6,255
80107108901,0,0,0,0,3,0,3,0,0,5,0,6,0,5,7,9,14,0,0,43
