route_id,route_short_name,route_label,route_long_name,day_type,category,count,percentage,total_observations
77,77,77,Tuggeranong to Woden via Gowrie & Erindale,weekday,Fair (3-6min),1189,27.2,4376
77,77,77,Tuggeranong to Woden via Gowrie & Erindale,weekday,Good (1-3min),1493,34.1,4376
77,77,77,Tuggeranong to Woden via Gowrie & Erindale,weekday,Poor (6-9min),373,8.5,4376
77,77,77,Tuggeranong to Woden via Gowrie & Erindale,weekday,Very Poor (10+min),8,0.2,4376
78,78,78,Richardson Loop via Chisholm,weekday,Excellent (±1min),1530,45.2,3385
78,78,78,Richardson Loop via Chisholm,weekday,Fair (3-6min),341,10.1,3385
78,78,78,Richardson Loop via Chisholm,weekday,Good (1-3min),1363,40.3,3385
78,78,78,Richardson Loop via Chisholm,weekday,Poor (6-9min),115,3.4,3385
78,78,78,Richardson Loop via Chisholm,weekday,Very Poor (10+min),36,1.1,3385
79,79,79,Calwell to Tuggeranong via Theodore,weekday,Excellent (±1min),928,33.4,2781
79,79,79,Calwell to Tuggeranong via Theodore,weekday,Fair (3-6min),607,21.8,2781
79,79,79,Calwell to Tuggeranong via Theodore,weekday,Good (1-3min),1111,39.9,2781
79,79,79,Calwell to Tuggeranong via Theodore,weekday,Poor (6-9min),135,4.9,2781
79,79,79,Calwell to Tuggeranong via Theodore,weekday,Very Poor (10+min),0,0.0,2781
80,80,80,Lanyon Marketplace to Tuggeranong via Banks,weekday,Excellent (±1min),1373,43.2,3175
80,80,80,Lanyon Marketplace to Tuggeranong via Banks,weekday,Fair (3-6min),341,10.7,3175
80,80,80,Lanyon Marketplace to Tuggeranong via Banks,weekday,Good (1-3min),1444,45.5,3175
80,80,80,Lanyon Marketplace to Tuggeranong via Banks,weekday,Poor (6-9min),3,0.1,3175
80,80,80,Lanyon Marketplace to Tuggeranong via Banks,weekday,Very Poor (10+min),14,0.4,3175
81,81,81,Lanyon Marketplace to Tuggeranong via Gordon,weekday,Excellent (±1min),2633,58.5,4498
81,81,81,Lanyon Marketplace to Tuggeranong via Gordon,weekday,Fair (3-6min),171,3.8,4498
81,81,81,Lanyon Marketplace to Tuggeranong via Gordon,weekday,Good (1-3min),1694,37.7,4498
81,81,81,Lanyon Marketplace to Tuggeranong via Gordon,weekday,Poor (6-9min),0,0.0,4498
81,81,81,Lanyon Marketplace to Tuggeranong via Gordon,weekday,Very Poor (10+min),0,0.0,4498
903,903,903,Strathnairn Loop,weekday,Excellent (±1min),648,35.0,1851
903,903,903,Strathnairn Loop,weekday,Fair (3-6min),474,25.6,1851
903,903,903,Strathnairn Loop,weekday,Good (1-3min),670,36.2,1851
903,903,903,Strathnairn Loop,weekday,Poor (6-9min),36,1.9,1851
903,903,903,Strathnairn Loop,weekday,Very Poor (10+min),23,1.2,1851
