route_id,route_short_name,route_long_name,service_type,mean_headway_min,departures
63-10657,63,Cooleman Court to Woden via Stirling & Fisher,sunday,58.07692307692308,14
63-10657,63,Cooleman Court to Woden via Stirling & Fisher,weekday_offpeak,15.971428571428572,37
63-10657,63,Cooleman Court to Woden via Stirling & Fisher,weekday_peak,12.25,18
64-10657,64,Weston Creek to Woden via Rivett & Cooleman Court,saturday,31.666666666666668,28
64-10657,64,Weston Creek to Woden via Rivett & Cooleman Court,sunday,57.69230769230769,14
64-10657,64,Weston Creek to Woden via Rivett & Cooleman Court,weekday_offpeak,15.694444444444445,38
64-10657,64,Weston Creek to Woden via Rivett & Cooleman Court,weekday_peak,15.428571428571429,16
65-10657,65,Weston Creek to Woden via Duffy & Cooleman Court,saturday,33.333333333333336,28
65-10657,65,Weston Creek to Woden via Duffy & Cooleman Court,sunday,60.0,15
65-10657,65,Weston Creek to Woden via Duffy & Cooleman Court,weekday_offpeak,14.8,37
65-10657,65,Weston Creek to Woden via Duffy & Cooleman Court,weekday_peak,13.857142857142858,16
66-10657,66,Cooleman Court to Woden via Denman Prospect,saturday,33.407407407407405,28
66-10657,66,Cooleman Court to Woden via Denman Prospect,sunday,60.0,15
66-10657,66,Cooleman Court to Woden via Denman Prospect,weekday_offpeak,14.567567567567568,39
66-10657,66,Cooleman Court to Woden via Denman Prospect,weekday_peak,11.933333333333334,17
7-10657,7,Weston Creek to City ANU via Cooleman Court,saturday,15.0,63
7-10657,7,Weston Creek to City ANU via Cooleman Court,sunday,15.0,57
7-10657,7,Weston Creek to City ANU via Cooleman Court,weekday_offpeak,8.140845070422536,73
7-10657,7,Weston Creek to City ANU via Cooleman Court,weekday_peak,7.5,32
70-10657,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,saturday,32.73076923076923,27
70-10657,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,sunday,60.0,15
70-10657,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday_offpeak,15.444444444444445,38
70-10657,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,weekday_peak,13.857142857142858,16
71-10657,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,saturday,33.74074074074074,28
71-10657,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,sunday,60.0,15
71-10657,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday_offpeak,15.352941176470589,36
71-10657,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,weekday_peak,14.0,16
72-10657,72,Tuggeranong to Woden via Oxley & Erindale,saturday,33.333333333333336,28
72-10657,72,Tuggeranong to Woden via Oxley & Erindale,sunday,60.0,15
72-10657,72,Tuggeranong to Woden via Oxley & Erindale,weekday_offpeak,16.485714285714284,37
72-10657,72,Tuggeranong to Woden via Oxley & Erindale,weekday_peak,15.214285714285714,16
73-10657,73,Tuggeranong to Woden via Monash & Wanniassa,saturday,32.67857142857143,29
73-10657,73,Tuggeranong to Woden via Monash & Wanniassa,sunday,58.84615384615385,14
73-10657,73,Tuggeranong to Woden via Monash & Wanniassa,weekday_offpeak,15.764705882352942,36
73-10657,73,Tuggeranong to Woden via Monash & Wanniassa,weekday_peak,14.142857142857142,16
74-10657,74,Chisholm Loop via Erindale & Richardson,saturday,64.61538461538461,14
74-10657,74,Chisholm Loop via Erindale & Richardson,sunday,120.0,7
74-10657,74,Chisholm Loop via Erindale & Richardson,weekday_offpeak,32.125,18
74-10657,74,Chisholm Loop via Erindale & Richardson,weekday_peak,31.166666666666668,8
75-10657,75,Chisholm Loop via Richardson & Erindale,saturday,66.42857142857143,15
75-10657,75,Chisholm Loop via Richardson & Erindale,sunday,120.0,7
75-10657,75,Chisholm Loop via Richardson & Erindale,weekday_offpeak,32.8125,18
75-10657,75,Chisholm Loop via Richardson & Erindale,weekday_peak,30.166666666666668,8
76-10657,76,Tuggeranong to Woden via Calwell & Erindale,saturday,34.18518518518518,28
76-10657,76,Tuggeranong to Woden via Calwell & Erindale,sunday,57.23076923076923,14
76-10657,76,Tuggeranong to Woden via Calwell & Erindale,weekday_offpeak,15.058823529411764,36
76-10657,76,Tuggeranong to Woden via Calwell & Erindale,weekday_peak,12.2,17
77-10657,77,Tuggeranong to Woden via Gowrie & Erindale,saturday,34.88461538461539,27
77-10657,77,Tuggeranong to Woden via Gowrie & Erindale,sunday,58.0,14
77-10657,77,Tuggeranong to Woden via Gowrie & Erindale,weekday_offpeak,15.514285714285714,37
77-10657,77,Tuggeranong to Woden via Gowrie & Erindale,weekday_peak,13.533333333333333,17
78-10657,78,Richardson Loop via Bonython & Isabella Plains,saturday,65.0,13
78-10657,78,Richardson Loop via Bonython & Isabella Plains,sunday,120.0,7
78-10657,78,Richardson Loop via Bonython & Isabella Plains,weekday_offpeak,32.375,18
78-10657,78,Richardson Loop via Bonython & Isabella Plains,weekday_peak,30.166666666666668,8
79-10657,79,Calwell to Tuggeranong via Theodore,saturday,33.357142857142854,29
79-10657,79,Calwell to Tuggeranong via Theodore,sunday,60.0,15
79-10657,79,Calwell to Tuggeranong via Theodore,weekday_offpeak,15.6,37
79-10657,79,Calwell to Tuggeranong via Theodore,weekday_peak,13.714285714285714,16
8-10657,8,Gunghalin to Belconnen,saturday,14.885245901639344,62
8-10657,8,Gunghalin to Belconnen,sunday,15.403508771929825,58
8-10657,8,Gunghalin to Belconnen,weekday_offpeak,8.314285714285715,72
8-10657,8,Gunghalin to Belconnen,weekday_peak,7.833333333333333,32
80-10657,80,Lanyon to Tuggeranong via Banks & Conder,saturday,33.333333333333336,28
80-10657,80,Lanyon to Tuggeranong via Banks & Conder,sunday,60.357142857142854,15
80-10657,80,Lanyon to Tuggeranong via Banks & Conder,weekday_offpeak,15.588235294117647,36
80-10657,80,Lanyon to Tuggeranong via Banks & Conder,weekday_peak,14.285714285714286,16
81-10657,81,Lanyon to Tuggeranong via Gordon & Bonython,saturday,32.30769230769231,27
81-10657,81,Lanyon to Tuggeranong via Gordon & Bonython,sunday,55.76923076923077,14
81-10657,81,Lanyon to Tuggeranong via Gordon & Bonython,weekday_offpeak,16.21212121212121,35
81-10657,81,Lanyon to Tuggeranong via Gordon & Bonython,weekday_peak,13.5625,18
9-10657,9,Belconnen to Watson via Bruce & Dickson,saturday,14.968253968253968,64
9-10657,9,Belconnen to Watson via Bruce & Dickson,sunday,14.964912280701755,58
9-10657,9,Belconnen to Watson via Bruce & Dickson,weekday_offpeak,7.888888888888889,74
9-10657,9,Belconnen to Watson via Bruce & Dickson,weekday_peak,7.133333333333334,32
902-10657,902,Woden to AMC & Hume via CBR Hospital,saturday,92.14285714285714,8
902-10657,902,Woden to AMC & Hume via CBR Hospital,sunday,92.14285714285714,8
902-10657,902,Woden to AMC & Hume via CBR Hospital,weekday_offpeak,93.75,6
903-10657,903,Kippax to Strathnairn Loop,saturday,30.0,24
903-10657,903,Kippax to Strathnairn Loop,sunday,30.0,24
903-10657,903,Kippax to Strathnairn Loop,weekday_offpeak,25.294117647058822,19
903-10657,903,Kippax to Strathnairn Loop,weekday_peak,15.76923076923077,15
R1-LR,R1,Gungahlin to City (Light Rail),saturday,10.0,50
R1-LR,R1,Gungahlin to City (Light Rail),sunday,12.0,50
R1-LR,R1,Gungahlin to City (Light Rail),weekday_offpeak,10.0,60
R1-LR,R1,Gungahlin to City (Light Rail),weekday_peak,6.0,60
