route_id,route_short_name,route_long_name,saturday_headway,sunday_headway,weekday_offpeak_headway,weekday_peak_headway,saturday_departures,sunday_departures,weekday_offpeak_departures,weekday_peak_departures,weekday_offpeak,weekday_peak,route_length_km,service_span_hours,weighted_headway,weighted_reliability,weekend_service_ratio,total_daily_departures,cluster,cluster_name
57-10657,57,Woden to City via Hughes & Yarralumla,31.444444444444443,56.07692307692308,14.571428571428571,12.857142857142858,28.0,14.0,37.0,16.0,86.86,84.87,17.667233949778918,17.383333333333333,23.65757020757021,73.362,0.7777777777777778,53.0,0,Standard Suburban Network
58-10657,58,Woden to City via Curtin & Deakin,32.241379310344826,56.07692307692308,15.588235294117649,13.428571428571429,30.0,14.0,36.0,16.0,85.03,68.95,14.801666628914784,18.566666666666666,24.34426810512003,67.9455,0.8301886792452831,52.0,0,Standard Suburban Network
59-10657,59,City ANU to Woden via Russell & Barton,34.074074074074076,58.46153846153846,8.661538461538461,7.033333333333333,28.0,14.0,67.0,32.0,86.99,76.64,14.740730531335112,18.849999999999998,20.725584045584043,70.9385,0.42,99.0,0,Standard Suburban Network
6-10657,6,Woden to City ANU via Kingston,14.77777777777778,15.017857142857142,6.588888888888889,5.657894736842105,64.0,57.0,92.0,40.0,79.39,76.45,18.74957144574331,19.03333333333333,9.21171365914787,68.22149999999999,0.9097744360902256,132.0,2,Frequent All-Week Services
60-10657,60,Mawson Loop via O'Malley & Farrer,66.92307692307692,120.0,32.875,30.166666666666668,14.0,8.0,18.0,8.0,59.03,86.15,13.933739277098232,17.3,51.940865384615385,64.0055,0.8148148148148148,26.0,1,Weekend Service Gap
61-10657,61,Mawson Loop via Farrer & O'Malley,65.0,120.0,31.9375,29.833333333333332,13.0,7.0,18.0,8.0,80.57,81.32,13.947764535926497,18.5,51.128125,70.09549999999999,0.7407407407407407,26.0,1,Weekend Service Gap
62-10657,62,Woden to Southlands via Lyons & Pearce,64.28571428571429,120.0,32.0,29.666666666666668,15.0,7.0,18.0,8.0,75.98,57.55,16.771250029254215,18.0,50.95714285714286,61.358,0.8148148148148148,26.0,1,Weekend Service Gap
63-10657,63,Cooleman Court to Woden via Stirling & Fisher,32.30769230769231,58.07692307692308,15.971428571428572,12.25,27.0,14.0,37.0,18.0,88.61,96.42,10.80062601941745,18.516666666666666,24.438076923076924,77.4395,0.7321428571428571,55.0,0,Standard Suburban Network
64-10657,64,Weston Creek to Woden via Rivett & Cooleman Court,31.666666666666668,57.69230769230769,15.694444444444445,15.428571428571429,28.0,14.0,38.0,16.0,94.63,76.92,12.742467900900449,17.25,25.108806471306472,73.6965,0.7636363636363637,54.0,0,Standard Suburban Network
65-10657,65,Weston Creek to Woden via Duffy & Cooleman Court,33.333333333333336,60.0,14.8,13.857142857142858,28.0,15.0,37.0,16.0,92.68,82.62,10.046135205451069,18.25,25.003809523809526,74.724,0.7962962962962963,53.0,0,Standard Suburban Network
