stop_id,saturday_departures,sunday_departures,weekday_offpeak_departures,weekday_peak_departures,weekday_total_departures,stop_name,stop_lat,stop_lon,District
4230,0.0,0.0,0.0,0.0,1.0,Kerrigan St after Crowley Ct,-35.193772,149.040123,Belconnen
4333,71.0,47.0,57.0,40.0,135.0,Kippax Interchange,-35.22243,149.019477,Belconnen
4479,148.0,116.0,93.0,82.0,247.0,Cohen St Interchange Plt 3,-35.239773,149.060494,Belconnen
4529,159.0,119.0,155.0,100.0,344.0,ANU Rimmer St,-35.276452,149.125783,North Canberra
4632,14.0,7.0,14.0,8.0,28.0,National Museum Lennox Crossing,-35.291673,149.118763,North Canberra
4774,0.0,0.0,0.0,0.0,2.0,Kosciuszko Av opp Redcliffe St,-35.194948,149.12519,Gungahlin
4807,52.0,36.0,42.0,25.0,94.0,Copland Dr Spence Terminus,-35.200702,149.068587,Belconnen
4809,0.0,0.0,2.0,0.0,2.0,Hirschfeld Cr Macgregor PS SSO,-35.213215,149.01265,Belconnen
4888,0.0,0.0,0.0,0.0,3.0,Tillyard opp Fraser East Terminus,-35.190819,149.045561,Belconnen
5083,0.0,0.0,0.0,1.0,1.0,The Valley Av opp Burgmann School Valley Campus,-35.186933,149.124061,Gungahlin
5128,0.0,0.0,2.0,0.0,2.0,Alfred Deakin High School Grounds SSO,-35.324106,149.093537,South Canberra
5182,0.0,0.0,1.0,0.0,1.0,John Paul College School Grounds SSO,-35.177066,149.100304,Gungahlin
5515,93.0,44.0,86.0,49.0,183.0,Belconnen Interchange Plt 5,-35.240015,149.068853,Belconnen
5516,16.0,8.0,9.0,6.0,23.0,Belconnen Interchange Plt 6,-35.240011,149.069342,Belconnen
6092,0.0,0.0,0.0,0.0,2.0,Well Station Dr after Flemington Rd,-35.208676,149.148401,Gungahlin
6109,30.0,14.0,29.0,17.0,67.0,Casey Market Town Kingsland Pde,-35.17378,149.096479,Gungahlin
6165,0.0,0.0,1.0,0.0,1.0,Burgmann Anglican School Forde Campus,-35.170833,149.143845,Gungahlin
6330,0.0,0.0,0.0,0.0,2.0,Bonner Shops Mabo Bvd,-35.161314,149.139551,Gungahlin
6331,0.0,0.0,0.0,0.0,1.0,Neville Bonner PS Mabo Bvd,-35.162156,149.139512,Gungahlin
7011,73.0,35.0,72.0,41.0,155.0,Gungahlin Place Plt 3,-35.18535,149.13516,Gungahlin
7012,123.0,71.0,113.0,63.0,243.0,Gungahlin Place Plt 4,-35.18461,149.134956,Gungahlin
